feature,dll_contrib,auc_contrib
ft_runs,0.000303161248469519,-2.2548813033207438e-05
bms_te,0.00025352791455712786,-0.009289345222935008
sex,0.00015195708826770682,0.000613295819970161
rank_trend,0.0001448631342216844,-0.00028088059270747756
implied_prob,0.00011301666287943934,0.0001124518863778734
prev2_speed,9.929043480882971e-05,0.0005244290910040306
speed_momentum,9.673590132924792e-05,7.630678763081988e-05
body_weight,7.120125580323267e-05,0.0008282075316807802
t_place_rate_prior,6.695750892637964e-05,0.00028389055549871145
rel_prev_speed,3.4524453535245136e-05,0.0005425619747824184
t_win_rate_prior,3.37745724652283e-05,2.362250033716151e-05
ix_pos_dist,3.117105000982612e-05,0.00022876852212427856
course_avgspeed,2.1038312780774504e-07,-6.477986886799236e-05
oikiri_sentiment,-4.973316475420653e-06,-0.0002842675949743523
age,-5.803873851406571e-06,0.0004572618941067752
odds,-1.573067011334528e-05,0.0016111566604475325
prev_class_level,-3.879110674331887e-05,-0.00032791214476990405
prev_last3f_rank,-5.524854807203994e-05,-0.0003589883593417831
popularity,-6.897487110607559e-05,-0.0001953531519144347
prev_last3f,-7.054665489159007e-05,0.00010462210925354931
layoff_long,-8.27831608023466e-05,-3.520403783285886e-05
weather,-8.5806661116683e-05,-0.00011261545538721052
style_x_pace,-8.65503573958537e-05,-0.0009687243693440317
avg_speed3,-0.00010371838272676959,0.0005637428670558498
avg_rank3,-0.00011691799929230973,-1.5191425536631442e-05
prev_speed,-0.00011922136557468432,0.0007768957996527881
race_class,-0.00012140770039126281,0.00029135384860279334
weight,-0.00012989565392551583,-0.0003213895057445626
ft_placerate,-0.0001396235198534712,-0.00035294547003861254
j_win_rate_prior,-0.0001409269386258849,0.0009583592535080676
oikiri_grade,-0.00014669017918095273,0.00032395929938033863
ix_dist_pos,-0.00014864016117943635,-0.0008308209066432148
prev_popularity,-0.0001504401451790649,-2.6937073053456828e-05
class_level,-0.0001739541116816401,0.0005824010444190897
ft_winrate,-0.00018865492435188314,0.0001811809295054756
frame_number,-0.00019629471816967614,0.0004708488690085
t_runs_prior,-0.00019717354933690423,-0.00042956642302838244
course_runs,-0.00019825693023184376,-0.00018314952429632214
layoff_short,-0.00022094680269324485,-0.00010536042730768802
prev_odds,-0.00022271701423542956,0.0003106466763427296
dist_runs,-0.00022465226700102425,0.0013758134913257614
frame_ratio,-0.00023455287605883557,9.24380483621201e-05
j_place_rate_prior,-0.0002424181415497384,0.000543070467850737
j_runs_prior,-0.00024454680800684025,0.0004657821086626601
class_drop,-0.0002458964162587729,1.6598089312980235e-05
prev2_rank,-0.0002752774521309065,-0.00031206264937888584
place_rate_prior,-0.00028172098965867365,0.00023249999310059888
course_winrate,-0.00029948308008875824,-0.0006740232278746872
days_since_last,-0.00031295016443982915,-0.0006535427355027768
post_ratio,-0.00032110240805099943,0.00033719164912160426
best_speed,-0.00032133093466324425,0.000298150183913104
weight_ratio,-0.0003235794793345903,-0.000650958252740641
course_placerate,-0.00032789391606297125,-0.0003464572160907231
field_type,-0.0003290417963203729,-2.48039371195663e-05
win_rate_prior,-0.0003299158310404171,0.0002566696488961462
dist_placerate,-0.0003416378949467891,-0.00015088178907762817
race_place,-0.00034264095508546033,0.00031258931652144994
rel_last3f_rank,-0.0003523718966595979,-0.0002563327197026011
dist_winrate,-0.0003658726468429574,4.1151227736069274e-05
speed_trend,-0.0003798651893809346,0.0005473272731491008
prev_rank,-0.000385816441975384,0.000834087977777398
rel_avg_speed3,-0.0003885833546172224,-0.00016922029774790737
avg_last3f_rank3,-0.00038867695172911665,0.00037510348491776035
ft_avgspeed,-0.0003982598784404989,0.00012559547153856432
distance_m,-0.0004287178144194992,-0.00038060233479431105
not_win_flg,-0.00043295425694322986,-0.0002944543147043177
track_condition,-0.00044537335803074285,-0.00020878051631600947
dist_avgspeed,-0.0004543709350562919,-0.00021471195463163006
pace_pressure,-0.0004690680493071864,4.568099808621717e-05
rel_avg_rank3,-0.0004985046144512228,-0.00037425915641087215
op_flg,-0.0005247872566500611,1.6281398010686843e-05
prev_early_pos,-0.000525288133086721,0.00045339147793044265
new_flg,-0.0005634143545613091,-0.0003020981137176193
best_rank_prior,-0.0005697239207279048,-4.858393143425399e-05
sire_te,-0.0005873916230222376,-0.002334277404182905
ix_going_pos,-0.0005995197335190161,-0.0004659887610617419
n_runs_prior,-0.000609098669798025,0.00014390672969422091
body_weight_diff,-0.000640827769867236,0.001193223308717295
count,-0.0006946234469142332,0.001554890044879187
avg_early_pos3,-0.0007907966080343276,-0.0001734216345198325
sire_win_rate,-0.0009287995735083321,-0.00032055193065849696
